"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jul 21 00:14:57 EDT 2021","Wed Jul 21 00:14:58 EDT 2021","167","test_api","test_redirect_callback_url","Test_Redirect_Callback_URL","","","test_redirct_callback_url[argvals1]",""
"passed","Wed Jul 21 00:14:57 EDT 2021","Wed Jul 21 00:14:57 EDT 2021","382","test_api","test_redirect_callback_url","Test_Redirect_Callback_URL","","","test_redirct_callback_url[argvals0]",""
"failed","Wed Jul 21 00:14:59 EDT 2021","Wed Jul 21 00:14:59 EDT 2021","225","test_api","test_web_be_api","Test_Web_BE_URL","","","test_web_be_api_url[argvals2]",""
"failed","Wed Jul 21 00:14:58 EDT 2021","Wed Jul 21 00:14:58 EDT 2021","210","test_api","test_web_be_api","Test_Web_BE_URL","","","test_web_be_api_url[argvals0]",""
"passed","Wed Jul 21 00:14:58 EDT 2021","Wed Jul 21 00:14:58 EDT 2021","294","test_api","test_redirect_callback_url","Test_Redirect_Callback_URL","","","test_redirct_callback_url[argvals2]",""
"broken","Wed Jul 21 00:14:58 EDT 2021","Wed Jul 21 00:14:58 EDT 2021","159","test_api","test_redirect_callback_url","Test_Redirect_Callback_URL","","","test_redirct_callback_url[argvals3]",""
"passed","Wed Jul 21 00:14:58 EDT 2021","Wed Jul 21 00:14:59 EDT 2021","204","test_api","test_web_be_api","Test_Web_BE_URL","","","test_web_be_api_url[argvals1]",""
"failed","Wed Jul 21 00:14:59 EDT 2021","Wed Jul 21 00:14:59 EDT 2021","243","test_api","test_web_be_api","Test_Web_BE_URL","","","test_web_be_api_url[argvals3]",""
