"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jul 21 00:15:56 EDT 2021","Wed Jul 21 00:15:57 EDT 2021","172","test_api","test_redirect_callback_url","Test_Redirect_Callback_URL","","","test_redirct_callback_url[argvals3]",""
"broken","Wed Jul 21 00:15:56 EDT 2021","Wed Jul 21 00:15:56 EDT 2021","168","test_api","test_redirect_callback_url","Test_Redirect_Callback_URL","","","test_redirct_callback_url[argvals1]",""
"passed","Wed Jul 21 00:15:57 EDT 2021","Wed Jul 21 00:15:57 EDT 2021","213","test_api","test_web_be_api","Test_Web_BE_URL","","","test_web_be_api_url[argvals1]",""
"failed","Wed Jul 21 00:15:57 EDT 2021","Wed Jul 21 00:15:58 EDT 2021","248","test_api","test_web_be_api","Test_Web_BE_URL","","","test_web_be_api_url[argvals3]",""
"failed","Wed Jul 21 00:15:57 EDT 2021","Wed Jul 21 00:15:57 EDT 2021","228","test_api","test_web_be_api","Test_Web_BE_URL","","","test_web_be_api_url[argvals2]",""
"passed","Wed Jul 21 00:15:56 EDT 2021","Wed Jul 21 00:15:56 EDT 2021","294","test_api","test_redirect_callback_url","Test_Redirect_Callback_URL","","","test_redirct_callback_url[argvals2]",""
"failed","Wed Jul 21 00:15:57 EDT 2021","Wed Jul 21 00:15:57 EDT 2021","246","test_api","test_web_be_api","Test_Web_BE_URL","","","test_web_be_api_url[argvals0]",""
"passed","Wed Jul 21 00:15:55 EDT 2021","Wed Jul 21 00:15:56 EDT 2021","587","test_api","test_redirect_callback_url","Test_Redirect_Callback_URL","","","test_redirct_callback_url[argvals0]",""
