"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 21 00:39:20 EDT 2021","Wed Jul 21 00:39:20 EDT 2021","300","test_api","test_redirect_callback_url","Test_Redirect_Callback_URL","","","test_redirct_callback_url[argvals2]",""
"failed","Wed Jul 21 00:39:20 EDT 2021","Wed Jul 21 00:39:20 EDT 2021","225","test_api","test_web_be_api","Test_Web_BE_URL","","","test_web_be_api_url[argvals0]",""
"failed","Wed Jul 21 00:39:20 EDT 2021","Wed Jul 21 00:39:21 EDT 2021","240","test_api","test_web_be_api","Test_Web_BE_URL","","","test_web_be_api_url[argvals2]",""
"passed","Wed Jul 21 00:39:20 EDT 2021","Wed Jul 21 00:39:20 EDT 2021","207","test_api","test_web_be_api","Test_Web_BE_URL","","","test_web_be_api_url[argvals1]",""
"failed","Wed Jul 21 00:39:21 EDT 2021","Wed Jul 21 00:39:21 EDT 2021","233","test_api","test_web_be_api","Test_Web_BE_URL","","","test_web_be_api_url[argvals3]",""
"passed","Wed Jul 21 00:39:20 EDT 2021","Wed Jul 21 00:39:20 EDT 2021","171","test_api","test_redirect_callback_url","Test_Redirect_Callback_URL","","","test_redirct_callback_url[argvals3]",""
"passed","Wed Jul 21 00:39:19 EDT 2021","Wed Jul 21 00:39:19 EDT 2021","450","test_api","test_redirect_callback_url","Test_Redirect_Callback_URL","","","test_redirct_callback_url[argvals0]",""
"passed","Wed Jul 21 00:39:19 EDT 2021","Wed Jul 21 00:39:20 EDT 2021","163","test_api","test_redirect_callback_url","Test_Redirect_Callback_URL","","","test_redirct_callback_url[argvals1]",""
